ID,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT_W_CITY,APPL_DATETIME,DATE_BIRTH,age,age_category
95421,0,Cash loans,F,N,Y,135000.0,648000.0,33214.5,648000.0,Secondary / secondary special,House / apartment,18.209,3,2017-04-22 14:25:01,1949-12-13,74,Above_Sixty
180539,0,Cash loans,F,N,Y,225000.0,545040.0,25537.5,450000.0,Secondary / secondary special,House / apartment,105,3,2018-05-26 0:05:43,1993-07-28,30,Twenty
110649,1,Cash loans,M,Y,N,153000.0,360000.0,28440.0,360000.0,Secondary / secondary special,Rented apartment,10.556,3,2018-07-01 3:34:13,1952-06-23,71,Above_Sixty
133649,0,Cash loans,M,N,Y,121500.0,302206.5,16524.0,229500.0,Secondary / secondary special,Rented apartment,20.713,3,2017-03-04 19:28:13,1960-04-04,63,Above_Sixty
135876,1,Cash loans,F,N,Y,103500.0,161730.0,8901.0,135000.0,Secondary / secondary special,House / apartment,6.852,3,2018-04-03 4:52:48,1974-07-01,49,Fourty
171795,0,Cash loans,F,Y,N,135000.0,1042164.0,58324.5,931500.0,Incomplete higher,Office apartment,8.068,3,2018-09-15 4:40:56,1981-12-02,42,Fourty
132002,0,Cash loans,F,N,Y,90000.0,868500.0,36927.0,868500.0,Secondary / secondary special,House / apartment,2.134,3,2017-07-10 3:28:47,1995-12-15,28,Twenty
153155,0,Cash loans,F,N,N,90000.0,126000.0,13365.0,126000.0,Secondary / secondary special,House / apartment,18.209,3,2017-09-12 5:42:48,1994-10-31,29,Twenty
110020,0,Cash loans,F,Y,N,247500.0,299772.0,15358.5,247500.0,Incomplete higher,House / apartment,20.713,3,2018-02-11 10:35:11,1953-06-29,70,Above_Sixty
50826,0,Cash loans,F,Y,N,112500.0,675000.0,21906.0,675000.0,Higher education,House / apartment,18.209,3,2018-06-21 18:30:22,1960-05-21,63,Above_Sixty
178166,0,Cash loans,F,Y,N,373500.0,1350000.0,39474.0,1350000.0,Higher education,House / apartment,20.246,3,2018-02-19 0:31:21,1974-10-23,49,Fourty
178396,0,Cash loans,F,N,N,54000.0,283500.0,17262.0,283500.0,Secondary / secondary special,With parents,6.296,3,2017-10-09 17:11:44,1970-06-26,53,Fifty
153394,0,Cash loans,M,N,Y,90000.0,157500.0,6934.5,157500.0,Secondary / secondary special,House / apartment,105,3,2017-11-27 7:27:21,1951-04-06,72,Above_Sixty
126632,0,Cash loans,F,N,N,54000.0,545040.0,19575.0,450000.0,Secondary / secondary special,House / apartment,20.246,3,2017-09-15 11:13:20,1953-02-05,70,Above_Sixty
73790,1,Cash loans,M,N,Y,135000.0,755190.0,36459.0,675000.0,Secondary / secondary special,House / apartment,2.042,3,2018-09-23 11:32:01,1961-10-30,62,Above_Sixty
190536,0,Cash loans,M,N,Y,157500.0,537322.5,39231.0,486000.0,Secondary / secondary special,House / apartment,20.246,3,2017-03-26 16:26:23,1964-01-16,59,Fifty
68190,0,Cash loans,F,Y,Y,144000.0,1832940.0,48483.0,1530000.0,Higher education,House / apartment,18.029,3,2018-02-07 10:48:03,1982-06-12,41,Fourty
107853,0,Cash loans,F,N,Y,292500.0,1877445.0,65389.5,1714500.0,Higher education,House / apartment,3.069,3,2017-08-13 8:51:36,1966-05-05,57,Fifty
69806,0,Cash loans,M,Y,N,360000.0,545040.0,20547.0,450000.0,Secondary / secondary special,Rented apartment,6.305,3,2017-08-15 19:08:16,1952-10-13,71,Above_Sixty
125081,0,Cash loans,F,N,Y,112500.0,112500.0,8887.5,112500.0,Secondary / secondary special,With parents,3.069,3,2017-03-03 5:29:47,1994-08-19,29,Twenty
60048,0,Cash loans,F,N,Y,90000.0,310671.0,24673.5,256500.0,Secondary / secondary special,House / apartment,3.122,3,2018-04-18 7:05:08,1960-06-09,63,Above_Sixty
97299,0,Cash loans,F,N,Y,112500.0,668304.0,28444.5,540000.0,Secondary / secondary special,House / apartment,5.002,3,2017-11-16 2:35:02,1993-11-16,30,Twenty
66013,0,Cash loans,F,N,N,90000.0,454500.0,21865.5,454500.0,Secondary / secondary special,House / apartment,8.068,3,2017-04-27 19:38:59,1974-04-25,49,Fourty
129571,0,Cash loans,M,Y,Y,157500.0,364896.0,17685.0,315000.0,Secondary / secondary special,House / apartment,18.029,3,2018-11-21 0:13:12,1967-08-21,56,Fifty
